id;day_date;full_date;day_number;day_name;day_name_short;is_week_day;month_number;month_name;month_name_short;trimester_number;trimester_name;semester_number;semester_name;year
19960530;30/05/1996;quinta-feira, 30 de maio de 1996;30;quinta-feira;qui;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960531;31/05/1996;sexta-feira, 31 de maio de 1996;31;sexta-feira;sex;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960601;01/06/1996;sábado, 1 de junho de 1996;1;sábado;sab;não;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960602;02/06/1996;domingo, 2 de junho de 1996;2;domingo;dom;não;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960603;03/06/1996;segunda-feira, 3 de junho de 1996;3;segunda-feira;seg;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960604;04/06/1996;terça-feira, 4 de junho de 1996;4;terça-feira;ter;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960605;05/06/1996;quarta-feira, 5 de junho de 1996;5;quarta-feira;qua;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960606;06/06/1996;quinta-feira, 6 de junho de 1996;6;quinta-feira;qui;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960607;07/06/1996;sexta-feira, 7 de junho de 1996;7;sexta-feira;sex;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960608;08/06/1996;sábado, 8 de junho de 1996;8;sábado;sab;não;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960609;09/06/1996;domingo, 9 de junho de 1996;9;domingo;dom;não;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960610;10/06/1996;segunda-feira, 10 de junho de 1996;10;segunda-feira;seg;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960611;11/06/1996;terça-feira, 11 de junho de 1996;11;terça-feira;ter;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960612;12/06/1996;quarta-feira, 12 de junho de 1996;12;quarta-feira;qua;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960613;13/06/1996;quinta-feira, 13 de junho de 1996;13;quinta-feira;qui;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960614;14/06/1996;sexta-feira, 14 de junho de 1996;14;sexta-feira;sex;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960615;15/06/1996;sábado, 15 de junho de 1996;15;sábado;sab;não;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960616;16/06/1996;domingo, 16 de junho de 1996;16;domingo;dom;não;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960617;17/06/1996;segunda-feira, 17 de junho de 1996;17;segunda-feira;seg;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960618;18/06/1996;terça-feira, 18 de junho de 1996;18;terça-feira;ter;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960619;19/06/1996;quarta-feira, 19 de junho de 1996;19;quarta-feira;qua;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960620;20/06/1996;quinta-feira, 20 de junho de 1996;20;quinta-feira;qui;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960621;21/06/1996;sexta-feira, 21 de junho de 1996;21;sexta-feira;sex;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960622;22/06/1996;sábado, 22 de junho de 1996;22;sábado;sab;não;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960623;23/06/1996;domingo, 23 de junho de 1996;23;domingo;dom;não;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960624;24/06/1996;segunda-feira, 24 de junho de 1996;24;segunda-feira;seg;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960625;25/06/1996;terça-feira, 25 de junho de 1996;25;terça-feira;ter;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960626;26/06/1996;quarta-feira, 26 de junho de 1996;26;quarta-feira;qua;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
19960627;27/06/1996;quinta-feira, 27 de junho de 1996;27;quinta-feira;qui;sim;6;junho;jun;2;2º Trimestre;1;1º Semestre;1996
